IND_ID	X1	X2	pf1	pf2	gene_1
donor_015	-0.087932	0	-0.745676	-0.020502	2
donor_015	-0.087932	0	0.799375	-1.073149	3
donor_015	-0.087932	0	0.110412	0.165558	5
donor_015	-0.087932	0	-0.211500	-0.836007	3
donor_016	1.038386	1	0.408061	-0.798341	0
donor_016	1.038386	1	1.434386	-0.779604	3
donor_016	1.038386	1	2.265249	1.619018	5
donor_016	1.038386	1	1.277777	0.461875	6
donor_016	1.038386	1	-2.154420	-1.641531	3
donor_017	-1.430302	0	0.168629	-0.233255	6
donor_017	-1.430302	0	0.845141	-1.103378	1
donor_017	-1.430302	0	-0.997002	-1.130153	0
donor_017	-1.430302	0	-0.622467	-0.437658	5
donor_017	-1.430302	0	-0.744019	0.800158	3
donor_018	-1.134269	1	-0.129607	-1.172898	3
donor_018	-1.134269	1	-0.329184	-0.262970	4
donor_018	-1.134269	1	0.485066	0.426259	6
donor_018	-1.134269	1	-0.184269	-2.157763	5
donor_018	-1.134269	1	-0.675144	-1.255424	4
donor_019	0.173524	0	0.322292	-0.615370	4
donor_019	0.173524	0	0.217973	-0.410622	3
donor_019	0.173524	0	1.122722	1.514257	6
donor_019	0.173524	0	0.315745	1.886695	2
donor_019	0.173524	0	0.629125	1.350147	1
donor_020	0.726010	1	-1.078401	-0.543591	1
donor_020	0.726010	1	1.124316	1.055135	2
donor_020	0.726010	1	0.349427	0.114286	4
donor_020	0.726010	1	-0.333142	0.673033	4
donor_020	0.726010	1	0.439695	-0.235490	3
donor_021	-1.993319	0	0.894887	0.160677	2
donor_021	-1.993319	0	-0.281466	1.419545	2
donor_021	-1.993319	0	2.389022	-1.544697	3
donor_021	-1.993319	0	1.538194	2.343103	2
donor_021	-1.993319	0	0.754485	0.295482	6
donor_022	-0.304068	1	-0.011472	-0.227966	3
donor_022	-0.304068	1	-1.259383	-0.664991	3
donor_022	-0.304068	1	0.975848	2.887087	3
donor_022	-0.304068	1	-0.604319	1.068362	4
donor_022	-0.304068	1	0.323747	1.071972	6
donor_023	1.856411	0	0.403485	0.632926	2
donor_023	1.856411	0	0.198322	-0.020699	3
donor_023	1.856411	0	-1.243049	-0.263278	6
donor_023	1.856411	0	-0.165613	-0.638630	5
donor_023	1.856411	0	0.905125	0.370804	2
donor_024	-0.310262	1	-0.035173	-0.303823	1
donor_024	-0.310262	1	-0.517851	1.785583	2
donor_024	-0.310262	1	1.315641	-0.100159	2
donor_024	-0.310262	1	1.986051	1.060769	4
donor_024	-0.310262	1	0.263812	-0.450502	3
donor_025	0.142802	0	1.534537	-0.906979	4
donor_025	0.142802	0	-0.425447	-1.739961	2
donor_025	0.142802	0	0.076535	1.085374	2
donor_025	0.142802	0	0.455496	0.314195	3
donor_025	0.142802	0	-0.513983	-0.016741	5
donor_026	2.104942	1	-1.948220	-0.834526	2
donor_026	2.104942	1	0.199403	1.468089	1
donor_026	2.104942	1	0.539883	0.767977	8
donor_026	2.104942	1	-0.107013	-1.402206	3
donor_026	2.104942	1	1.688533	0.339895	4
donor_027	1.973480	0	1.407100	-0.205329	5
donor_027	1.973480	0	-0.633137	1.313465	0
donor_027	1.973480	0	-0.183723	0.633371	7
donor_027	1.973480	0	-0.858882	-0.732223	5
donor_027	1.973480	0	-1.697739	-0.400953	2
donor_028	-0.364769	1	0.089442	-1.622525	1
donor_028	-0.364769	1	-1.164332	-1.919658	1
donor_028	-0.364769	1	1.108193	0.093348	11
donor_028	-0.364769	1	-0.479420	-1.576585	4
donor_028	-0.364769	1	-0.435906	1.675476	3
donor_029	-0.999366	0	-0.199473	1.065659	5
donor_029	-0.999366	0	-0.405079	0.672188	2
donor_029	-0.999366	0	-0.252038	-0.063558	1
donor_029	-0.999366	0	1.875486	0.308251	0
donor_029	-0.999366	0	-0.185358	-0.273066	3
donor_030	-1.587940	1	1.642857	-0.758513	0
donor_030	-1.587940	1	-2.133707	-1.755056	2
donor_030	-1.587940	1	0.189147	-1.348520	2
donor_030	-1.587940	1	0.276670	0.035052	3
donor_030	-1.587940	1	-1.388855	1.082804	1
donor_031	1.987625	0	-0.705675	-0.707910	4
donor_031	1.987625	0	-0.216507	-0.509013	7
donor_031	1.987625	0	-1.705646	-0.869378	1
donor_031	1.987625	0	-0.482455	1.185820	3
donor_031	1.987625	0	-1.345153	-1.741116	6
donor_032	-0.752294	1	-0.882659	1.299217	2
donor_032	-0.752294	1	1.112466	-0.933452	3
donor_032	-0.752294	1	1.030861	0.414052	4
donor_032	-0.752294	1	-0.964303	0.103335	2
donor_032	-0.752294	1	-0.540736	0.431767	1
donor_033	0.444080	0	0.449376	1.053937	5
donor_033	0.444080	0	-0.137058	0.412534	3
donor_033	0.444080	0	-0.207926	1.101015	6
donor_033	0.444080	0	-0.015610	0.630736	3
donor_033	0.444080	0	0.957145	-0.212498	2
donor_034	-3.595536	1	-0.601760	0.094169	3
donor_034	-3.595536	1	0.767179	-0.481454	1
donor_034	-3.595536	1	1.660744	-0.499697	4
donor_034	-3.595536	1	1.076043	0.534548	4
donor_034	-3.595536	1	0.535820	-0.746724	0
donor_035	-2.108821	0	-0.506935	0.272432	1
donor_035	-2.108821	0	-0.159317	1.075329	5
donor_035	-2.108821	0	0.884123	0.253543	3
donor_035	-2.108821	0	-1.011538	0.242552	3
donor_035	-2.108821	0	1.013879	0.688737	2
donor_036	0.684599	1	-0.602324	0.632803	4
donor_036	0.684599	1	-1.647190	-0.257492	3
donor_036	0.684599	1	-1.781837	-0.070051	1
donor_036	0.684599	1	-0.024832	0.444611	2
donor_036	0.684599	1	-0.234518	-0.038309	2
donor_037	1.232642	0	1.205093	-1.646893	3
donor_037	1.232642	0	-0.439976	-1.657878	1
donor_037	1.232642	0	1.821410	0.151272	7
donor_037	1.232642	0	0.094549	0.470475	1
donor_037	1.232642	0	-0.065672	1.296405	5
donor_038	-1.498182	1	-0.026895	0.631829	0
donor_038	-1.498182	1	0.990162	0.522546	2
donor_038	-1.498182	1	0.223411	0.179760	3
donor_038	-1.498182	1	0.136757	-0.147171	1
donor_038	-1.498182	1	1.185725	-1.011897	1
donor_039	0.621381	0	-0.764025	0.706648	2
donor_039	0.621381	0	1.656414	0.357725	5
donor_039	0.621381	0	1.330270	-1.497265	2
donor_039	0.621381	0	-2.232503	-0.569130	1
donor_039	0.621381	0	0.519394	0.383636	2
donor_040	1.063709	1	1.063197	-2.308759	1
donor_040	1.063709	1	0.313740	0.383918	3
donor_040	1.063709	1	0.638622	-0.004019	2
donor_040	1.063709	1	-0.905382	1.517113	1
donor_040	1.063709	1	-0.782630	0.005853	0
